Markov Baseline 评估结果
==================================================

样本 203: UID=985, 长度=279, 得分=0.016692
样本 204: UID=988, 长度=168, 得分=0.000146
样本 205: UID=990, 长度=160, 得分=0.000124
样本 206: UID=1002, 长度=77, 得分=0.031236
样本 207: UID=1007, 长度=117, 得分=0.012811
样本 208: UID=1009, 长度=83, 得分=0.014474
样本 209: UID=1014, 长度=135, 得分=0.298415
样本 210: UID=1017, 长度=329, 得分=0.003712
样本 211: UID=1018, 长度=152, 得分=0.004706
样本 212: UID=1022, 长度=203, 得分=0.182828
样本 213: UID=1025, 长度=285, 得分=0.334075
样本 214: UID=1036, 长度=134, 得分=0.000000
样本 215: UID=1038, 长度=150, 得分=0.035636
样本 216: UID=1041, 长度=291, 得分=0.092473
样本 217: UID=1045, 长度=71, 得分=0.004913
样本 218: UID=1046, 长度=231, 得分=0.169431
样本 219: UID=1049, 长度=180, 得分=0.000001
样本 220: UID=1050, 长度=182, 得分=0.061553
样本 221: UID=1058, 长度=83, 得分=0.012296
样本 222: UID=1059, 长度=328, 得分=0.000769
样本 223: UID=1082, 长度=152, 得分=0.000014
样本 224: UID=1083, 长度=273, 得分=0.001815
样本 225: UID=1084, 长度=149, 得分=0.199067
样本 226: UID=1085, 长度=131, 得分=0.248586
样本 227: UID=1086, 长度=120, 得分=0.008732
样本 228: UID=1087, 长度=131, 得分=0.001906
样本 229: UID=1105, 长度=134, 得分=0.000121
样本 230: UID=1108, 长度=68, 得分=0.020960
样本 231: UID=1120, 长度=179, 得分=0.043419
样本 232: UID=1122, 长度=216, 得分=0.055167
样本 233: UID=1127, 长度=171, 得分=0.032221
样本 234: UID=1132, 长度=156, 得分=0.050974
样本 235: UID=1136, 长度=163, 得分=0.019637
样本 236: UID=1145, 长度=119, 得分=0.089515
样本 237: UID=1146, 长度=102, 得分=0.030714
样本 238: UID=1148, 长度=141, 得分=0.088943
样本 239: UID=1152, 长度=194, 得分=0.094694
样本 240: UID=1153, 长度=166, 得分=0.011135
样本 241: UID=1157, 长度=245, 得分=0.004484
样本 242: UID=1162, 长度=139, 得分=0.001098
样本 243: UID=1168, 长度=207, 得分=0.080475
样本 244: UID=1179, 长度=199, 得分=0.001825
样本 245: UID=1180, 长度=203, 得分=0.000207
样本 246: UID=1183, 长度=253, 得分=0.072195
样本 247: UID=1184, 长度=190, 得分=0.057957
样本 248: UID=1186, 长度=82, 得分=0.013739
样本 249: UID=1202, 长度=154, 得分=0.007018
样本 250: UID=1203, 长度=152, 得分=0.023530
样本 251: UID=1204, 长度=221, 得分=0.007524
样本 252: UID=1213, 长度=164, 得分=0.064638
样本 253: UID=1218, 长度=149, 得分=0.078899
样本 254: UID=1231, 长度=316, 得分=0.102822
样本 255: UID=1232, 长度=164, 得分=0.008146
样本 256: UID=1233, 长度=192, 得分=0.009228
样本 257: UID=1244, 长度=245, 得分=0.453589
样本 258: UID=1249, 长度=112, 得分=0.076604
样本 259: UID=1256, 长度=101, 得分=0.190115
样本 260: UID=1263, 长度=141, 得分=0.003548
样本 261: UID=1266, 长度=170, 得分=0.045039
样本 262: UID=1270, 长度=115, 得分=0.015133
样本 263: UID=1271, 长度=200, 得分=0.000000
样本 264: UID=1274, 长度=169, 得分=0.000076
样本 265: UID=1278, 长度=284, 得分=0.016663
样本 266: UID=1282, 长度=258, 得分=0.184721
样本 267: UID=1290, 长度=81, 得分=0.001056
样本 268: UID=1291, 长度=235, 得分=0.000295
样本 269: UID=1302, 长度=127, 得分=0.073456
样本 270: UID=1303, 长度=130, 得分=0.003868
样本 271: UID=1304, 长度=135, 得分=0.009811
样本 272: UID=1316, 长度=263, 得分=0.006696
样本 273: UID=1325, 长度=161, 得分=0.049575
样本 274: UID=1354, 长度=249, 得分=0.168585
样本 275: UID=1355, 长度=114, 得分=0.000013
样本 276: UID=1362, 长度=185, 得分=0.002976
样本 277: UID=1363, 长度=124, 得分=0.001570
样本 278: UID=1366, 长度=232, 得分=0.217466
样本 279: UID=1369, 长度=161, 得分=0.002981
样本 280: UID=1373, 长度=306, 得分=0.090828
样本 281: UID=1383, 长度=156, 得分=0.000804
样本 282: UID=1387, 长度=130, 得分=0.000000
样本 283: UID=1389, 长度=203, 得分=0.017497
样本 284: UID=1391, 长度=208, 得分=0.012093
样本 285: UID=1400, 长度=127, 得分=0.129655
样本 286: UID=1401, 长度=159, 得分=0.006333
样本 287: UID=1409, 长度=191, 得分=0.025425
样本 288: UID=1413, 长度=119, 得分=0.012106
样本 289: UID=1417, 长度=140, 得分=0.026294
样本 290: UID=1422, 长度=187, 得分=0.005983
样本 291: UID=1423, 长度=197, 得分=0.026826
样本 292: UID=1425, 长度=166, 得分=0.002507
样本 293: UID=1426, 长度=136, 得分=0.005608
样本 294: UID=1441, 长度=154, 得分=0.000001
样本 295: UID=1442, 长度=170, 得分=0.063176
样本 296: UID=1446, 长度=164, 得分=0.000001
样本 297: UID=1448, 长度=304, 得分=0.002835
样本 298: UID=1451, 长度=146, 得分=0.000050
样本 299: UID=1453, 长度=298, 得分=0.000098
样本 300: UID=1457, 长度=318, 得分=0.173900
样本 301: UID=1464, 长度=176, 得分=0.000010
样本 302: UID=1466, 长度=289, 得分=0.362335
样本 303: UID=1467, 长度=159, 得分=0.006324
样本 304: UID=1469, 长度=165, 得分=0.001504
样本 305: UID=1470, 长度=116, 得分=0.011635
样本 306: UID=1477, 长度=260, 得分=0.001587
样本 307: UID=1479, 长度=83, 得分=0.034655
样本 308: UID=1485, 长度=188, 得分=0.002408
样本 309: UID=1492, 长度=185, 得分=0.143367
样本 310: UID=1498, 长度=91, 得分=0.109598
样本 311: UID=1500, 长度=157, 得分=0.343010
样本 312: UID=1502, 长度=215, 得分=0.020247
样本 313: UID=1504, 长度=229, 得分=0.004246
样本 314: UID=1505, 长度=297, 得分=0.068672
样本 315: UID=1506, 长度=254, 得分=0.135437
样本 316: UID=1509, 长度=83, 得分=0.024016
样本 317: UID=1511, 长度=114, 得分=0.001187
样本 318: UID=1516, 长度=156, 得分=0.134718
样本 319: UID=1518, 长度=154, 得分=0.028170
样本 320: UID=1521, 长度=186, 得分=0.200684
样本 321: UID=1537, 长度=145, 得分=0.000304
样本 322: UID=1539, 长度=86, 得分=0.180301
样本 323: UID=1542, 长度=335, 得分=0.035599
样本 324: UID=1556, 长度=388, 得分=0.006757
样本 325: UID=1560, 长度=174, 得分=0.529838
样本 326: UID=1563, 长度=148, 得分=0.104623
样本 327: UID=1568, 长度=108, 得分=0.011331
样本 328: UID=1570, 长度=119, 得分=0.228464
样本 329: UID=1583, 长度=152, 得分=0.186805
样本 330: UID=1589, 长度=134, 得分=0.106484
样本 331: UID=1593, 长度=238, 得分=0.197701
样本 332: UID=1594, 长度=132, 得分=0.033383
样本 333: UID=1597, 长度=92, 得分=0.000195
样本 334: UID=1598, 长度=482, 得分=0.177378
样本 335: UID=1605, 长度=205, 得分=0.246701
样本 336: UID=1611, 长度=206, 得分=0.095748
样本 337: UID=1618, 长度=129, 得分=0.021515
样本 338: UID=1630, 长度=81, 得分=0.003646
样本 339: UID=1631, 长度=196, 得分=0.000106
样本 340: UID=1635, 长度=217, 得分=0.261061
样本 341: UID=1638, 长度=111, 得分=0.079102
样本 342: UID=1639, 长度=210, 得分=0.340551
样本 343: UID=1640, 长度=140, 得分=0.028609
样本 344: UID=1641, 长度=159, 得分=0.003793
样本 345: UID=1646, 长度=190, 得分=0.262068
样本 346: UID=1653, 长度=170, 得分=0.003489
样本 347: UID=1656, 长度=116, 得分=0.070685
样本 348: UID=1657, 长度=230, 得分=0.045760
样本 349: UID=1660, 长度=176, 得分=0.000461
样本 350: UID=1665, 长度=145, 得分=0.000439
样本 351: UID=1666, 长度=275, 得分=0.476292
样本 352: UID=1673, 长度=193, 得分=0.008299
样本 353: UID=1676, 长度=87, 得分=0.075047
样本 354: UID=1678, 长度=219, 得分=0.000000
样本 355: UID=1686, 长度=207, 得分=0.000560
样本 356: UID=1694, 长度=92, 得分=0.000516
样本 357: UID=1701, 长度=228, 得分=0.000962
样本 358: UID=1703, 长度=201, 得分=0.013067
样本 359: UID=1705, 长度=137, 得分=0.147037
样本 360: UID=1713, 长度=130, 得分=0.156429
样本 361: UID=1714, 长度=288, 得分=0.001183
样本 362: UID=1717, 长度=284, 得分=0.549062
样本 363: UID=1719, 长度=330, 得分=0.001662
样本 364: UID=1728, 长度=181, 得分=0.236712
样本 365: UID=1730, 长度=274, 得分=0.008864
样本 366: UID=1735, 长度=207, 得分=0.000840
样本 367: UID=1739, 长度=146, 得分=0.000078
样本 368: UID=1744, 长度=191, 得分=0.029833
样本 369: UID=1746, 长度=75, 得分=0.108140
样本 370: UID=1747, 长度=128, 得分=0.112486
样本 371: UID=1752, 长度=210, 得分=0.171224
